"Country","timePeriod","yieldStability","productionStability","yield","production","yieldAsynchrony","productionAsynchrony","richness","diversity","nitrogen","nitrogen_ha","irrigation","irrigation_share","instabilityTemp","instabilityPrec","warfare"
"AFG",1961,13.3353141286545,20.6891045984408,3648108.98314581,13461917070000,0.728249079793029,0.366427049986936,30,4.54314194942575,6000,0.000760533387415708,49591511.2,6.286,-28.7063313821933,-6.08098595137375,0.526492851135408
"AFG",1971,13.922762743471,12.4344128035384,3998878.0244296,15329406900000,0.681772536680615,0.172976517367492,30,4.61892321899239,27459.8,0.00341234218113133,51590599.2,6.411,-15.3593690648385,-5.60070741900473,0.814760147601476
"AFG",1981,40.649825796244,33.0040599936738,4176970.10551226,12153207750000,0.688933693423286,0.639917892103695,33,4.91479521189233,45783.5,0.00568823924063214,56880869.6,7.067,-28.0463968329882,-5.69821539941563,1.22626695217702
"AFG",1991,8.41435529950901,6.18041788939489,3854849.41970971,11574403133000,0.931501214564923,0.221440226284946,36,4.4904516549295,14770,0.00188212806626314,65722812.5,8.375,-32.2256350260091,-6.84710201275415,0.829813664596273
"AFG",2001,8.02637170465234,6.10591798933361,5124772.52943812,16702065021000,0.83591990630495,0.324294514970584,36,4.0966717046027,18449.382,0.00234164872823273,66701920.8,8.466,-25.343046644089,-5.22125338668605,0.504895960832313
"ALB",1961,18.9447470124915,15.0931171252475,3878548.35817977,1773602564000,0.766300587569201,0.846781510829015,18,8.46674451458581,7868.7,0.014751968503937,9213418.2,17.273,-37.7234211789837,-5.91227008487423,0.526492851135408
"ALB",1971,15.9298016128823,14.9169488936332,6093574.03482745,3159401983000,0.807496709656012,0.658601033032824,18,9.18827151358136,47890,0.0719393120024035,19773952.8,29.704,-34.0034395067547,-6.64472484625411,0.814760147601476
"ALB",1981,16.3294269156457,15.2177774423187,7619933.07287995,4049412560000,0.678356703607278,0.589222552790746,19,9.49628155936569,73010,0.102787554554414,25616259.2,36.064,-36.4044062637213,-16.6206069866457,1.22626695217702
"ALB",1991,15.3557921876619,8.04583059017891,6942945.32722342,2367236643000,0.836843032850486,0.495179053175147,42,8.93878761315008,12060,0.017201540436457,21567939.3,30.763,-25.5373420993483,-8.54344844025515,0.829813664596273
"ALB",2001,19.1083932961583,13.2632699954535,9142417.37393251,2495054359000,0.879027490693727,0.617198787884204,47,12.4479739123799,31542.077,0.0454038822513315,21316174.8,30.684,-38.0373363359225,-5.89909871142775,0.504895960832313
"DZA",1961,5.08845305318301,3.89852292712424,2093147.66917238,7354331260000,0.863121892933066,0.225646964318172,36,4.29205809939902,19502.7,0.00285390052241099,3594526.2,0.526,-49.2609692389184,-4.87291460811503,0.526492851135408
"DZA",1971,5.63598472222813,4.50667927856386,2053538.90887821,8126335288000,0.805811798398789,0.243436565745872,40,5.27283703576199,63602.3,0.00862696507290607,4106482.5,0.557,-45.9784305001757,-6.3175995986254,0.814760147601476
"DZA",1981,7.2962942955527,4.08070305279765,2339033.55825849,8366475821000,0.911018996680553,0.216240912886943,47,7.22924041016079,70621.5,0.00936898033909098,6399592.2,0.849,-40.0918561936654,-4.41066234727062,1.22626695217702
"DZA",1991,6.00323734688958,2.44050524246702,3125790.35814245,11119431248000,0.884340965650594,0.188472448264697,53,8.83144078187227,42340,0.00524295408390708,11346218,1.405,-25.3650057996657,-7.04046981215869,0.829813664596273
"DZA",2001,8.45692257215574,4.39639211718486,4220511.58091527,17053171398000,0.903946717407832,0.22226795212637,55,8.9223148505725,39999,0.00480464428527328,18698107.22,2.246,-46.789221044376,-7.64137777498738,0.504895960832313
"AGO",1961,27.0312634428073,33.5698683931757,2559089.49103249,4893077719000,0.914526088168432,0.853744773247364,24,7.41079976108627,2940,0.000893617021276596,427700,0.13,-135.609185252475,-8.85935531794869,0.526492851135408
"AGO",1971,19.7892148478935,25.4615915731107,2570604.32973031,4680048365000,0.92973444818556,0.796643153351922,24,7.74091806177849,8280,0.00243529411764706,462400,0.136,-70.2995282541486,-15.8632413392943,0.814760147601476
"AGO",1981,28.4717551371436,28.5553162133464,2232588.9744601,3722885448000,0.870585368458679,0.623035546158193,24,6.64134353822516,5360.6,0.00157664705882353,476000,0.14,-71.846851806203,-15.1590376650955,1.22626695217702
"AGO",1991,13.5041737096005,12.8564667081991,3069124.81976261,5696663143000,0.811590950617236,0.762558241723655,24,6.42468951085886,2140,0.000617604617604618,485100,0.14,-54.3412362175792,-9.33893907050991,0.829813664596273
"AGO",2001,14.0955033661163,12.0835779126146,4912568.37285641,16004410907000,0.938037384223091,0.432772437346797,26,7.77958325348956,6364.7,0.00171509027216384,549228,0.148,-60.7256684297962,-8.48981768805677,0.504895960832313
"ARG",1961,15.1995479255048,10.6548405880383,5006723.99636786,74967762657000,0.937390515973187,0.808022953766734,43,9.17438554057037,24791.6,0.00109438276645993,19391396,0.856,-44.0646510825869,-7.98742467792219,0.526492851135408
"ARG",1971,12.2878862020259,10.2139194119232,6231363.0545521,101831330555000,0.900819149286061,0.826352373714407,43,10.0517242303139,45802.8,0.0016991942305124,29516382,1.095,-45.1671771658013,-9.04278886013552,0.814760147601476
"ARG",1981,20.9064051912026,12.97334561849,7205439.58280463,137820184457000,0.952910060561569,0.835552260131656,53,9.49371944487533,86247.3,0.00311028608315272,31528668.9,1.137,-41.6869987516137,-9.65889930398989,1.22626695217702
"ARG",1991,14.6094923157706,11.2713042636939,8359385.82700279,180210661649000,0.941786296274279,0.704576757862256,66,8.45811866401194,337552.3,0.011981113591754,33864787.4,1.202,-48.7235160046876,-8.21613280660684,0.829813664596273
"ARG",2001,9.41441923023513,7.37103263652595,9877897.58070607,281065950185000,0.921433369774736,0.356404926783886,66,5.55973460244263,698787.3,0.0207487655329068,45533332,1.352,-44.7087299228769,-6.42456431184014,0.504895960832313
"ARM",2001,8.81813569415319,7.08242984752425,6762009.72110786,1977523207000,0.798617649284589,0.54665438105403,32,8.50209031164697,23275.63,0.0464731850491175,8663530.32,17.298,-14.6877682156278,-8.93089815094397,0.504895960832313
"AUS",1961,7.2123839646581,5.28100819902997,4373648.03145504,49510614442000,0.946039205370042,0.338392846005108,60,3.28751513477134,88760.6,0.00497757589458613,4779001.125,0.268,-44.2605484359329,-7.67487336031834,0.526492851135408
