"Country","timePeriod","yieldStability","productionStability","yield","production","yieldAsynchrony","productionAsynchrony","richness","diversity","nitrogen","nitrogen_ha","irrigation","irrigation_share","meanTemp","instabilityTemp","meanPrec","instabilityPrec","warfare"
"AFG",1961,11.3228226886089,17.0516209803575,3780770.29607093,1.1022842e+13,0.251166109211587,0.150574298723175,3,2.00926341999716,6000,0.000760533387415708,49591511.2,6.286,11.5295438389848,-28.7063313821933,1.9777971015587,-6.08098595137375,0.526492851135408
"AFG",1971,12.4782887261267,12.5135522175577,4200528.5112802,1.2629098e+13,0.18869839085864,0.0121035083823007,3,1.96175689849367,27459.8,0.00341234218113133,51590599.2,6.411,11.5956895606307,-15.3593690648385,1.79175115911669,-5.60070741900473,0.814760147601476
"AFG",1981,36.3151845210945,26.1409653380438,4441428.90215586,1.0004314e+13,0.635402774336394,0.417554640707351,3,1.95413625677783,45783.5,0.00568823924063214,56880869.6,7.067,11.7961380936308,-28.0463968329882,1.84200454768825,-5.69821539941563,1.22626695217702
"AFG",1991,7.3696464505615,5.44564511260704,3960744.73337375,9.327486e+12,0.266733150713097,0.179611423157553,3,1.7557905845824,14770,0.00188212806626314,65722812.5,8.375,11.6895692087315,-32.2256350260091,2.00605631082077,-6.84710201275415,0.829813664596273
"AFG",2001,7.01409585232702,5.42399336819151,5427559.198155,1.4017658e+13,0.552544423796493,0.211804159232086,3,1.61437426808043,18449.382,0.00234164872823273,66701920.8,8.466,12.5933149864595,-25.343046644089,1.71664442784731,-5.22125338668605,0.504895960832313
"ALB",1961,17.0749148815579,14.6039959267852,4587051.9142988,1228833504000,0.802546752662903,0.804216508318733,3,2.11235458807638,7868.7,0.014751968503937,9213418.2,17.273,9.33086442110598,-37.7234211789837,6.01700149654606,-5.91227008487423,0.526492851135408
"ALB",1971,12.0471452259671,11.7403012300217,8297097.74834951,2345388694000,0.203785081091484,0.364862716080292,3,2.04911342016026,47890,0.0719393120024035,19773952.8,29.704,9.42267791436408,-34.0034395067547,6.32816232974792,-6.64472484625411,0.814760147601476
"ALB",1981,16.4972380676299,19.6784281393121,10794083.6597538,3087381100000,0.451476173367289,0.491833018056976,4,2.12949207658691,73010,0.102787554554414,25616259.2,36.064,9.64852665215076,-36.4044062637213,5.28554958432273,-16.6206069866457,1.22626695217702
"ALB",1991,16.1272075361373,6.77281288009485,9430867.46007767,1842695342000,0.843665318482718,0.256186052455149,3,1.91216305410129,12060,0.017201540436457,21567939.3,30.763,10.248234531488,-25.5373420993483,5.71201032338724,-8.54344844025515,0.829813664596273
"ALB",2001,22.2184087338999,11.74045236206,13479714.271633,1779436800000,0.764396475457217,0.491377654029734,3,1.96101490391061,31542.077,0.0454038822513315,21316174.8,30.684,10.4917422658225,-38.0373363359225,6.26093354126585,-5.89909871142775,0.504895960832313
"DZA",1961,4.45081367716051,3.87328616486245,2066861.69361953,4196028156000,0.51042578517392,0.0157775327354172,3,1.02494194656337,19502.7,0.00285390052241099,3594526.2,0.526,14.5598517856797,-49.2609692389184,3.79169573301254,-4.87291460811503,0.526492851135408
"DZA",1971,4.94678737904115,4.13939808410852,2046003.92608677,4425969066000,0.423669065520511,0.00609244013166921,3,1.01294343393249,63602.3,0.00862696507290607,4106482.5,0.557,13.9382888207548,-45.9784305001757,4.06746692977633,-6.3175995986254,0.814760147601476
"DZA",1981,6.25871393421792,3.95763632004133,2305930.28751958,3441385078000,0.464139253295473,0.0132467279669762,3,1.0124385384507,70621.5,0.00936898033909098,6399592.2,0.849,14.6756594428318,-40.0918561936654,3.43574957557681,-4.41066234727062,1.22626695217702
"DZA",1991,5.92517104204496,2.0093641209041,3195587.97690731,5044833674000,0.269906023633484,0.00138641674806206,3,1.00494099988428,42340,0.00524295408390708,11346218,1.405,14.7299023507237,-25.3650057996657,3.53054319999641,-7.04046981215869,0.829813664596273
"DZA",2001,7.92723080598259,3.82987364098997,4497926.30589706,7796270874000,0.219665168664785,0.00202872880970373,3,1.00318041200464,39999,0.00480464428527328,18698107.22,2.246,15.245779381275,-46.789221044376,3.8349385186099,-7.64137777498738,0.504895960832313
"AGO",1961,15.5914372604514,11.8418941279473,3011263.2651964,1676686780000,0.752591393551774,0.471105035103119,3,1.35232413841103,2940,0.000893617021276596,427700,0.13,18.0492867384784,-135.609185252475,6.31028035536184,-8.85935531794869,0.526492851135408
"AGO",1971,12.5348788440544,10.4572345205891,2440793.49297086,1497420996000,0.623920033644457,0.144363362291472,3,1.26643915757055,8280,0.00243529411764706,462400,0.136,17.9607522590046,-70.2995282541486,5.81456735377367,-15.8632413392943,0.814760147601476
"AGO",1981,11.0043946299041,8.31629531799435,1316835.61904604,923499400000,0.799862090897546,0.154361549842279,3,1.10127937791197,5360.6,0.00157664705882353,476000,0.14,18.0485400389678,-71.846851806203,5.62575463938665,-15.1590376650955,1.22626695217702
"AGO",1991,4.00380072112467,4.99173555723768,1774269.11236841,1252804718000,0.134582197071308,0.202430518817219,3,1.09152703114205,2140,0.000617604617604618,485100,0.14,18.228607899811,-54.3412362175792,5.58011426817002,-9.33893907050991,0.829813664596273
"AGO",2001,6.04859162150341,6.08692695378225,2267632.72209118,2471980210000,0.637466427278609,0.0802319014152697,4,1.12944662004231,6364.7,0.00171509027216384,549228,0.148,18.9114388170015,-60.7256684297962,5.97698598742693,-8.48981768805677,0.504895960832313
"ARG",1961,10.1779787342298,7.61401178472869,5576688.7753739,46275005995000,0.834312346416757,0.597089605316645,4,2.04639024612453,24791.6,0.00109438276645993,19391396,0.856,15.5933780610855,-44.0646510825869,6.21513658291516,-7.98742467792219,0.526492851135408
"ARG",1971,10.1814019023919,11.3846741032728,6925858.00267852,6.0002233e+13,0.593896943313722,0.846880275230722,4,2.46121434050658,45802.8,0.0016991942305124,29516382,1.095,15.6892125264025,-45.1671771658013,6.46350545708494,-9.04278886013552,0.814760147601476
"ARG",1981,13.9206618130823,11.8985683071742,7788513.46996455,91985865400000,0.815279968488296,0.824490683001554,4,2.90677178670467,86247.3,0.00311028608315272,31528668.9,1.137,15.6591156703201,-41.6869987516137,6.39419060908011,-9.65889930398989,1.22626695217702
"ARG",1991,11.3078484513312,9.60954182111239,9201910.34760624,134745977132000,0.554984629473418,0.561865824947824,4,2.97877711276953,337552.3,0.011981113591754,33864787.4,1.202,15.5213437574941,-48.7235160046876,6.695177832423,-8.21613280660684,0.829813664596273
"ARG",2001,8.46786822071464,6.88453542131456,10356584.9538813,237683338418000,0.622682119010169,0.21948940277631,4,2.49293786603885,698787.3,0.0207487655329068,45533332,1.352,15.642896398324,-44.7087299228769,6.73543834227588,-6.42456431184014,0.504895960832313
"ARM",2001,6.3397921560294,5.86953854482326,7469616.80644291,820924678000,0.177073480933198,0.0459742065527153,2,1.13748960681878,23275.63,0.0464731850491175,8663530.32,17.298,3.84190472553401,-14.6877682156278,1.67819366594078,-8.93089815094397,0.504895960832313
"AUS",1961,6.31632523459305,4.06310472008423,4141646.74011334,32728768543000,0.787797518818288,0.0361489519691741,4,1.08726394937137,88760.6,0.00497757589458613,4779001.125,0.268,15.9852167976182,-44.2605484359329,4.13841642395424,-7.67487336031834,0.526492851135408
"AUS",1971,4.91306980918187,4.56803711530436,4347316.14641704,40987617774000,0.670257206219707,0.0681776631143545,4,1.11381535160139,193035.6,0.0120701565704567,4877804,0.305,16.1454835949593,-52.2278275674561,4.21026975289997,-4.98672265298138,0.814760147601476
