"Level","Year","meanTemp","sdTemp","meanPrec","sdPrec"
"BGD",1980,25.572363789205,0.305728293994483,15.6317886555808,14.1274515770864
"BGD",1981,25.2088189571879,0.28037725179332,17.8718491695798,21.7020555381635
"BGD",1982,25.37141848093,0.312809174752187,16.7057549874559,62.0541025196402
"BGD",1983,25.2948203197262,0.399626578746799,19.1502409435961,56.6827167539118
"BGD",1984,25.3055684693626,0.401409849851213,23.7961332698573,92.9220483798586
"BGD",1985,25.715239985417,0.413100835642158,16.8944923408792,69.3816872326477
"BGD",1986,25.6010414887321,0.466896355622786,17.6976668722058,27.2738998599552
"BGD",1987,25.9122533329773,0.506214361893365,20.1760746023409,70.4771842169058
"BGD",1988,25.8963888406854,0.385686267989479,23.0515018481679,130.61076430318
"BGD",1989,25.4278135238127,0.541884702201652,18.4028952276003,93.0447458091322
"BGD",1990,25.4206080006747,0.42571789720302,19.0456278364743,49.9975647666316
"BGD",1991,25.0442661755947,0.499382313754869,14.6088712018197,50.8818402852447
"BGD",1992,25.0997162165232,0.436081640740849,9.72388210418718,39.0470603095684
"BGD",1993,24.9401874885563,0.401458130676793,14.758165651687,60.2612348696291
"BGD",1994,25.2123885814958,0.290841311442362,15.0776678440139,37.5008783433895
"BGD",1995,25.3279158159022,0.33847018331166,13.3214757887879,35.4550247591273
"BGD",1996,25.3875362119828,0.339891381450299,16.3594212803825,43.8880485388996
"BGD",1997,24.8060887253788,0.351915204423778,17.2409165015459,27.4284232007563
"BGD",1998,25.4458234573152,0.299186619099476,17.9266256653869,25.8605562329849
"BGD",1999,25.6874756393976,0.268594833292266,15.9569110789552,23.9264788498071
"BGD",2000,25.0625392751773,0.335185030596784,14.9666146336546,44.4535658092406
"BGD",2001,25.1495394767602,0.197956725910912,17.7350155822706,53.0256083728618
"BGD",2002,25.1912921924972,0.39033819716262,20.3788272732382,55.532341808067
"BGD",2003,25.1881221329239,0.333071981610848,14.6036683696766,42.236295390101
"BGD",2004,25.5668131799,0.43694671264128,21.924711543398,72.4911623421598
"BGD",2005,25.5458788331704,0.358359151503616,17.8400976247173,30.4027810650488
"BGD",2006,25.8741543599602,0.267025864330635,16.4301570263558,28.5209943865649
"BGD",2007,25.4354734906225,0.276401943002907,24.351824101509,60.5144344257183
"BGD",2008,25.5868611898937,0.304418247322846,18.1539305586155,59.1536948611361
"BGD",2009,25.8887517171091,0.295342514149915,15.0859134254439,42.9627104356069
"BGD",2010,25.8727732501115,0.347961505527477,16.6159210964904,85.0863666114645
"BGD",2011,25.3818496708522,0.295407092123596,14.65132189497,35.5135435772936
"BGD",2012,25.1955394669661,0.378930340114009,20.5954797211627,85.675919747385
"BGD",2013,24.9612657767183,0.281609446911959,16.7321564323883,28.1694889337434
"BGD",2014,25.2749504107822,0.290416367369631,14.7659355891948,38.7460898256652
