"","Estimate (SE)","T","p-value","Estimate (SE)","T","p-value","Estimate (SE)","T","p-value"
"(Intercept)","2.6 (0.03)",97.64,"<0.0001","2.6 (0.02)",131.84,"<0.0001","2.6 (0.02)",134.28,"<0.0001"
"Diversity","0.15 (0.03)",5.38,"<0.0001",NA,NA,NA,"-0.11 (0.02)",-4.76,"<0.0001"
"Asynchrony",NA,NA,NA,"0.47 (0.02)",23.06,"<0.0001","0.53 (0.02)",22.8,"<0.0001"
"sqrt(Irigation)","0.05 (0.03)",1.62,"0.11","0.08 (0.02)",3.34,"0","0.1 (0.02)",4.22,"<0.0001"
"sqrt(N use intensity)","0.14 (0.04)",3.98,"<0.0001","0.06 (0.03)",2.21,"0.03","0.05 (0.03)",1.96,"0.05"
"Warfare","-0.04 (0.03)",-1.67,"0.1","-0.04 (0.02)",-1.91,"0.06","-0.04 (0.02)",-1.97,"0.05"
"Time","-0.1 (0.03)",-3.61,"0","-0.03 (0.02)",-1.7,"0.09","-0.01 (0.02)",-0.57,"0.57"
"Temperature instability","-0.25 (0.03)",-8.33,"<0.0001","-0.14 (0.02)",-6.32,"<0.0001","-0.13 (0.02)",-5.75,"<0.0001"
"Precipitation instability","-0.19 (0.03)",-6.71,"<0.0001","-0.18 (0.02)",-8.82,"<0.0001","-0.2 (0.02)",-9.8,"<0.0001"
