Monfreda2008,harvestedAreaFAO,Group1,Group2,Calories,Protein,Fat,Considerations1,Considerations2,Considerations3,FoodGroup,GrowthLength,GrowthStructure
greenbroadbean,"Vegetables, leguminous nes",greenbroadbean,greenbroadbean,230000,23000,1000,,,"Nutrients from BROAD BEANS,GREEN",vegetables and melons,annual,herbaceous
greencorn,NA,maize,NA,NA,NA,NA,Same species,Avoid double counting,,vegetables and melons,annual,herbaceous
greenonion,"Onions, shallots, green",onion,greenonion,240000,17000,1000,,,,vegetables and melons,annual,herbaceous
greenpea,"Peas, green",pea,greenpea,310000,21000,2000,,,,vegetables and melons,annual,herbaceous
groundnut,"Groundnuts, with shell",groundnut,groundnut,4140000,187000,359000,,,,oil crops,annual,herbaceous
gums,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA
hazelnut,"Hazelnuts, with shell",hazelnut,hazelnut,2910000,60000,288000,,,,tree nuts,perennial,tree
hemp,Hemp tow waste,hemp,NA,NA,NA,NA,Same species,Avoid double counting,,fiber,annual,herbaceous
hempseed,Hempseed,hemp,hempseed,8840000,0,1000000,,,Nutrients from OIL OF HEMPSEED,oil crops,annual,herbaceous
hop,Hops,hop,hop,NA,NA,NA,,,,other,perennial,shrub
jute,Jute,jute,jute,NA,NA,NA,,,,fiber,annual,herbaceous
jutelikefiber,"Bastfibres, other",jutelikefiber,jutelikefiber,NA,NA,NA,,,,fiber,annual,herbaceous
kapokfiber,NA,kapok,NA,NA,NA,NA,Same species,Avoid double counting,,fiber,perennial,tree
kapokseed,NA,kapok,kapokseed,8840000,0,1000000,,,Nutrients from OIL OF KAPOK,fiber,perennial,tree
karite,Karite nuts (sheanuts),karite,karite,5790000,68000,490000,,,,oil crops,perennial,tree
kiwi,Kiwi fruit,kiwi,kiwi,520000,9000,4000,,,,fruit,perennial,tree
kolanut,Kola nuts,kolanut,kolanut,3490000,90000,20000,,,,other,perennial,tree
legumenes,NA,NA,NA,NA,NA,NA,,,,forage,annual/perennial,herbaceous
lemonlime,Lemons and limes,lemonlime,lemonlime,150000,6000,2000,,,,fruit,perennial,tree
lentil,Lentils,lentil,lentil,3460000,242000,18000,,,,pulses,annual,herbaceous
lettuce,Lettuce and chicory,lettuce,lettuce,120000,11000,2000,,,Nutrients from LETTUCE,vegetables and melons,annual,herbaceous
linseed,Linseed,linseed,linseed,4980000,180000,340000,,,,oil crops,annual,herbaceous
lupin,Lupins,lupin,lupin,3900000,400000,130000,,,,pulses,annual,herbaceous
maize,Maize,maize,maize,3560000,95000,43000,,,,cereals,annual,herbaceous
maizefor,NA,maize,NA,NA,NA,NA,Same species,Avoid double counting,,forage,annual,herbaceous
mango,"Mangoes, mangosteens, guavas",mango,mango,450000,4000,2000,,,,fruit,perennial,tree
mate,Maté,mate,mate,400000,100000,0,,,,other,perennial,shrub
melonetc,"Melons, other (inc.cantaloupes)",melonetc,melonetc,170000,4000,1000,,,Nutrients from MELONS,vegetables and melons,annual,herbaceous
melonseed,Melonseed,melonetc,NA,4000000,182000,339000,Same species,Avoid double counting,,oil crops,annual,herbaceous
millet,Millet,millet,millet,3400000,97000,30000,,,,cereals,annual,herbaceous
mixedgrain,"Grain, mixed",mixedgrain,mixedgrain,3400000,80000,15000,,,,cereals,annual,herbaceous
